Company,Industry,City,Investors,Round,Amount,Year,State,Employee Size,Funded_Year,Amount_in_crores
Wooden Street,E-Commerce,Jaipur,Ian Fund,Undisclosed,25,2020,Rajasthan,501-1000,2020,"₹ 25,00,00,000.00"
WoodenStreet,E-Commerce,Jaipur,Ian Fund,Undisclosed,83,2020,Rajasthan,501-1000,2020,"₹ 83,00,00,000.00"
FanPlay,Technology,New Delhi,I2I Capitals,Undisclosed,83,2020,Delhi,11-50,2020,"₹ 83,00,00,000.00"
Etrio,EdTech,Hyderabad,Hnis,Undisclosed,415,2020,Telangana,251-500,2020,"₹ 4,15,00,00,000.00"
AjnaLens,Technology,Thane,Hercules Capital,Undisclosed,6230.75,2020,Maharashtra,101-250,2020,"₹ 62,30,75,00,000.00"
Rare Planet,E-Commerce,Kolkata,Hemesh Singh,Undisclosed,33,2020,West Bengal,51-100,2020,"₹ 33,00,00,000.00"
Zuper,E-Commerce,Chennai,Gunderson Dettmer,Undisclosed,91,2020,Tamil Nadu,251-500,2020,"₹ 91,00,00,000.00"
Chai Waale,Food,Chennai,Gunavanth Vaid,Undisclosed,2,2020,Tamil Nadu,251-500,2020,"₹ 2,00,00,000.00"
Pixr10,Media,Ghaziabad,Growx Ventures,Undisclosed,41,2020,Uttar Pradesh,501-1000,2020,"₹ 41,00,00,000.00"
GUVI,Education,Chennai,Gray Matters Capital,Undisclosed,66,2020,Tamil Nadu,501-1000,2020,"₹ 66,00,00,000.00"
Fourth Partner Energy,Energy,Hyderabad,Grameen Impact India,Undisclosed,1324,2020,Telangana,251-500,2020,"₹ 13,24,00,00,000.00"
DeepSync,AI,Noida,Grace Capital Ventures,Undisclosed,3,2020,Uttar Pradesh,251-500,2020,"₹ 3,00,00,000.00"
Credit Mantri,FinTech,Chennai,Gowri Mukherjee,Undisclosed,7,2020,Tamil Nadu,251-500,2020,"₹ 7,00,00,000.00"
Entri,EdTech,Kochi,Good Capital,Undisclosed,14,2020,Kerala,1001-5000,2020,"₹ 14,00,00,000.00"
Entri,EdTech,Kochi,Good Capital,Undisclosed,11,2020,Kerala,1001-5000,2020,"₹ 11,00,00,000.00"
Clientjoy,SaaS,Ahmedabad,Goldman Sachs,Undisclosed,1249,2020,Gujarat,11-50,2020,"₹ 12,49,00,00,000.00"
Freshokartz,Food,Jaipur,Goldman Sachs,Undisclosed,83,2020,Rajasthan,11-50,2020,"₹ 83,00,00,000.00"
Clovia,Personal Care,Noida,Golden Birch Investments,Undisclosed,332,2020,Uttar Pradesh,251-500,2020,"₹ 3,32,00,00,000.00"
EM3 Agri,FinTech,Noida,Global Innovation Fund,Undisclosed,83,2020,Uttar Pradesh,251-500,2020,"₹ 83,00,00,000.00"
InsuranceDekho,FinTech,Jaipur,Girnarsoft,Undisclosed,1660.75,2020,Rajasthan,1001-5000,2020,"₹ 16,60,75,00,000.00"
Ahaguru,EdTech,Chennai,Gennext Ventures,Undisclosed,448,2020,Tamil Nadu,51-100,2020,"₹ 4,48,00,00,000.00"
Zuper,E-Commerce,Chennai,Gemba Capital,Undisclosed,91,2020,Tamil Nadu,251-500,2020,"₹ 91,00,00,000.00"
LendingKart,FinTech,Ahmedabad,Fullerton Financial Holdings,Undisclosed,132,2020,Gujarat,501-1000,2020,"₹ 1,32,00,00,000.00"
LendingKart,FinTech,Ahmedabad,Fullerton Financial Holdings,Undisclosed,93,2020,Gujarat,501-1000,2020,"₹ 93,00,00,000.00"
Waycool,AgriTech,Chennai,Fmo,Undisclosed,42,2020,Tamil Nadu,1001-5000,2020,"₹ 42,00,00,000.00"
HomeLane,Design,Chennai,Fj Labs,Undisclosed,8,2020,Tamil Nadu,501-1000,2020,"₹ 8,00,00,000.00"
DealShare,E-Commerce,Jaipur,Falcon Edge Capital,Undisclosed,1743,2020,Rajasthan,101-250,2020,"₹ 17,43,00,00,000.00"
HomeLane,Design,Chennai,Evolvence India Fund,Undisclosed,8,2020,Tamil Nadu,501-1000,2020,"₹ 8,00,00,000.00"
EzeRx,Healthcare,Kolkata,Em,Undisclosed,448,2020,West Bengal,101-250,2020,"₹ 4,48,00,00,000.00"
Credit Mantri,FinTech,Chennai,Elevar Equity,Undisclosed,6,2020,Tamil Nadu,251-500,2020,"₹ 6,00,00,000.00"
Specsmakers,Personal Care,Chennai,Eight Roads Ventures,Undisclosed,249,2020,Tamil Nadu,501-1000,2020,"₹ 2,49,00,00,000.00"
Specsmaker,Personal Care,Chennai,Eight Road Ventures,Undisclosed,25,2020,Tamil Nadu,501-1000,2020,"₹ 25,00,00,000.00"
Krimanshi Feeds,AgriTech,Jodhpur,EEP T,Undisclosed,166,2020,Rajasthan,11-50,2020,"₹ 1,66,00,00,000.00"
Guvi Geek Network Pvt Ltd,EdTech,Chennai,Education Catalyst Fund,Undisclosed,6,2020,Tamil Nadu,501-1000,2020,"₹ 6,00,00,000.00"
Arth DesignBuild,Technology,Hyderabad,Eden Ventures,Undisclosed,9,2020,Telangana,101-250,2020,"₹ 9,00,00,000.00"
Leverage Edu,EdTech,New Delhi,Dsg Consumer Partners,Undisclosed,2,2020,Delhi,1001-5000,2020,"₹ 2,00,00,000.00"
Arata,Entertainment,New Delhi,Dream Incubator,Undisclosed,2499,2020,Delhi,101-250,2020,"₹ 24,99,00,00,000.00"
SucSEED,AgriTech,Hyderabad,Dr. Moti Vyas,Undisclosed,107,2020,Telangana,11-50,2020,"₹ 1,07,00,00,000.00"
Biryani By Kilo,Food,New Delhi,Devanshu Dolat Desai,Undisclosed,6,2020,Delhi,251-500,2020,"₹ 6,00,00,000.00"
Big Bang Boom Solutions,Entertainment,Chennai,Defence Innovation Organisation,Undisclosed,83,2020,Tamil Nadu,51-100,2020,"₹ 83,00,00,000.00"
Biryani By Kilo,Food,New Delhi,Debasish Priyadarshi Purohit,Undisclosed,6,2020,Delhi,251-500,2020,"₹ 6,00,00,000.00"
Krimanshi Feeds,AgriTech,Jodhpur,Daniel Lapus,Undisclosed,166,2020,Rajasthan,11-50,2020,"₹ 1,66,00,00,000.00"
Vivriti Capital,FinTech,Chennai,Creation Investments Capital Management,Undisclosed,83,2020,Tamil Nadu,101-250,2020,"₹ 83,00,00,000.00"
TurboHire,HR Tech,Hyderabad,CP Ventures,Undisclosed,99,2020,Telangana,11-50,2020,"₹ 99,00,00,000.00"
WinZO,Entertainment,New Delhi,Courtside Ventures,Undisclosed,1494,2020,Delhi,51-100,2020,"₹ 14,94,00,00,000.00"
Ahaguru,EdTech,Chennai,Contrarian Drishti Partners,Undisclosed,448,2020,Tamil Nadu,51-100,2020,"₹ 4,48,00,00,000.00"
BharatPe,FinTech,New Delhi,Coatue Management,Undisclosed,820.75,2020,Delhi,251-500,2020,"₹ 8,20,75,00,000.00"
Krishitantra,AgriTech,Hyderabad,Chiratae Ventures,Undisclosed,415,2020,Telangana,501-1000,2020,"₹ 4,15,00,00,000.00"
Pando,Logistics,Chennai,Chiratae Ventures,Undisclosed,9,2020,Tamil Nadu,251-500,2020,"₹ 9,00,00,000.00"
iMerit,AI,Kolkata,CDC Group,Undisclosed,164,2020,West Bengal,101-250,2020,"₹ 1,64,00,00,000.00"
GUVI,Education,Chennai,CBA Capital,Undisclosed,66,2020,Tamil Nadu,501-1000,2020,"₹ 66,00,00,000.00"
Krimanshi Feeds,AgriTech,Jodhpur,Canaan Partners,Undisclosed,8300.75,2020,Rajasthan,11-50,2020,"₹ 83,00,75,00,000.00"
Credgenics,FinTech,New Delhi,Breadlake Ventures,Undisclosed,249,2020,Delhi,501-1000,2020,"₹ 2,49,00,00,000.00"
Classplus,EdTech,Noida,Blume Ventures,Undisclosed,21,2020,Uttar Pradesh,101-250,2020,"₹ 21,00,00,000.00"
Leverage Edu,EdTech,New Delhi,Blume Ventures,Undisclosed,2,2020,Delhi,1001-5000,2020,"₹ 2,00,00,000.00"
Pixr10,Media,Ghaziabad,Blume Ventures,Undisclosed,41,2020,Uttar Pradesh,501-1000,2020,"₹ 41,00,00,000.00"
Sreyas Holistic Remedies,Healthcare,Hyderabad,Blacksoil Capital Pvt. Ltd,Undisclosed,83,2020,Telangana,101-250,2020,"₹ 83,00,00,000.00"
Chai Waale,Food,Chennai,Bharat Kumar,Undisclosed,2,2020,Tamil Nadu,251-500,2020,"₹ 2,00,00,000.00"
Finova Capital,Consumer Internet,Jaipur,Better Capital,Undisclosed,415,2020,Rajasthan,1001-5000,2020,"₹ 4,15,00,00,000.00"
LendingKart,FinTech,Ahmedabad,Bertelsmann India,Undisclosed,132,2020,Gujarat,501-1000,2020,"₹ 1,32,00,00,000.00"
LendingKart,FinTech,Ahmedabad,Bertelsmann India,Undisclosed,93,2020,Gujarat,501-1000,2020,"₹ 93,00,00,000.00"
DeepSync,AI,Noida,Beeline Impex Private Limited,Undisclosed,3,2020,Uttar Pradesh,251-500,2020,"₹ 3,00,00,000.00"
Plum,Healthcare,Thane,Bay Partners,Undisclosed,10.75,2020,Maharashtra,11-50,2020,"₹ 10,75,00,000.00"
Vivriti Capital,FinTech,Chennai,Aspada Investment Advisors,Undisclosed,83,2020,Tamil Nadu,101-250,2020,"₹ 83,00,00,000.00"
Grinntech,Automotive,Chennai,Ashok Leyl,Undisclosed,166,2020,Tamil Nadu,11-50,2020,"₹ 1,66,00,00,000.00"
Chai Waale,Food,Chennai,Arun Ostwal,Undisclosed,2,2020,Tamil Nadu,251-500,2020,"₹ 2,00,00,000.00"
Supplynote,Logistics,Noida,Artha India Ventures,Undisclosed,42,2020,Uttar Pradesh,251-500,2020,"₹ 42,00,00,000.00"
Bira91,Food,New Delhi,Anicut Capital,Undisclosed,6375,2020,Delhi,1001-5000,2020,"₹ 63,75,00,00,000.00"
DeepSync,AI,Noida,Anicut Angel Fund,Undisclosed,3,2020,Uttar Pradesh,251-500,2020,"₹ 3,00,00,000.00"
Eggoz,Food,Kurawar,AngelList,Undisclosed,3,2020,Madhya Pradesh,101-250,2020,"₹ 3,00,00,000.00"
GenRobotic,Robotics,Trivandrum,Amit Lakhotia,Undisclosed,166,2020,Kerala,101-250,2020,"₹ 1,66,00,00,000.00"
BankBazaar,FinTech,Chennai,Amazon,Undisclosed,748,2020,Tamil Nadu,251-500,2020,"₹ 7,48,00,00,000.00"
BankBazaar,FinTech,Chennai,Amazon,Undisclosed,31,2020,Tamil Nadu,251-500,2020,"₹ 31,00,00,000.00"
Biryani By Kilo,Food,New Delhi,Alpha Wave Ventures,Undisclosed,6,2020,Delhi,251-500,2020,"₹ 6,00,00,000.00"
Spaciya Consultants,Services,Noida,Alok Garg,Undisclosed,4,2020,Uttar Pradesh,11-50,2020,"₹ 4,00,00,000.00"
Xpressbees,Logistics,Pune,Alibaba Group,Undisclosed,1,2020,Maharashtra,10000+,2020,"₹ 1,00,00,000.00"
DeepSync,AI,Noida,Al Trust,Undisclosed,3,2020,Uttar Pradesh,251-500,2020,"₹ 3,00,00,000.00"
91SpringBoard,Careers,New Delhi,Al Nour International Holdings Co.,Undisclosed,49,2020,Delhi,251-500,2020,"₹ 49,00,00,000.00"
GenRobotic,Robotics,Trivandrum,Akash Gehani,Undisclosed,166,2020,Kerala,101-250,2020,"₹ 1,66,00,00,000.00"
AjnaLens,Technology,Thane,Aerospace Venture Fund,Undisclosed,12,2020,Maharashtra,101-250,2020,"₹ 12,00,00,000.00"
Credit Mantri,FinTech,Chennai,Accion Venture Lab,Undisclosed,6,2020,Tamil Nadu,251-500,2020,"₹ 6,00,00,000.00"
DeepSync,AI,Noida,Accelerator Fund,Undisclosed,3,2020,Uttar Pradesh,251-500,2020,"₹ 3,00,00,000.00"
Mihup,B2B,Kolkata,Accel,Undisclosed,124,2020,West Bengal,51-100,2020,"₹ 1,24,00,00,000.00"
Credgenics,FinTech,New Delhi,Accel,Undisclosed,249,2020,Delhi,501-1000,2020,"₹ 2,49,00,00,000.00"
Krishitantra,AgriTech,Hyderabad,Aavishkaar Venture Capital,Undisclosed,415,2020,Telangana,501-1000,2020,"₹ 4,15,00,00,000.00"
Credgenics,FinTech,New Delhi,9Unicorns,Undisclosed,17,2020,Delhi,501-1000,2020,"₹ 17,00,00,000.00"
DeepSync,AI,Noida,9Unicorns,Undisclosed,3,2020,Uttar Pradesh,251-500,2020,"₹ 3,00,00,000.00"
Hubilo,Event Management,Ahmedabad,3Lines,Undisclosed,623,2020,Gujarat,11-50,2020,"₹ 6,23,00,00,000.00"
WinZO,Entertainment,New Delhi,23 High Networth Individuals,Undisclosed,915,2020,Delhi,51-100,2020,"₹ 9,15,00,00,000.00"
WorkIndia,Consumer Internet,Mumbai,Xiaomi,Undisclosed,49,2020,Maharashtra,51-100,2020,"₹ 49,00,00,000.00"
Pepperfry,Content Creation,Mumbai,William Bissell,Undisclosed,415,2020,Maharashtra,501-1000,2020,"₹ 4,15,00,00,000.00"
LEAD School,Education,Mumbai,Westbridge Capital Partners,Undisclosed,2320.75,2020,Maharashtra,501-1000,2020,"₹ 23,20,75,00,000.00"
LEAD School,Education,Mumbai,Westbridge Capital Partners,Undisclosed,230.75,2020,Maharashtra,501-1000,2020,"₹ 2,30,75,00,000.00"
Shop101,E-Commerce,Mumbai,Vy Capital,Undisclosed,32,2020,Maharashtra,101-250,2020,"₹ 32,00,00,000.00"
Kuku FM,Entertainment,Mumbai,Vertex Ventures,Undisclosed,45,2020,Maharashtra,101-250,2020,"₹ 45,00,00,000.00"
Purplle,E-Commerce,Mumbai,Verlinvest,Undisclosed,1,2020,Maharashtra,101-250,2020,"₹ 1,00,00,000.00"
AlgoBulls,FinTech,Mumbai,Venture Catalysts,Undisclosed,17,2020,Maharashtra,11-50,2020,"₹ 17,00,00,000.00"
Shop101,E-Commerce,Mumbai,Unilever Ventures,Undisclosed,32,2020,Maharashtra,101-250,2020,"₹ 32,00,00,000.00"
Atomberg,Households,Mumbai,Undisclosed Investments,Undisclosed,747,2020,Maharashtra,501-1000,2020,"₹ 7,47,00,00,000.00"
AFK Gaming,Entertainment,Mumbai,Undisclosed Investments,Undisclosed,17,2020,Maharashtra,251-500,2020,"₹ 17,00,00,000.00"
Pepperfry,Content Creation,Mumbai,Tiger Global Management,Undisclosed,415,2020,Maharashtra,501-1000,2020,"₹ 4,15,00,00,000.00"
Dream11,Sports,Mumbai,Tencent Holdings,Undisclosed,1867,2020,Maharashtra,1001-5000,2020,"₹ 18,67,00,00,000.00"
CarTrade,Automotive,Mumbai,Temasek Holdings,Undisclosed,3542,2020,Maharashtra,1001-5000,2020,"₹ 35,42,00,00,000.00"
MyGlamm,Personal Care,Mumbai,Tano India,Undisclosed,35,2020,Maharashtra,101-250,2020,"₹ 35,00,00,000.00"
Atomberg,Households,Mumbai,Survam Partners,Undisclosed,747,2020,Maharashtra,501-1000,2020,"₹ 7,47,00,00,000.00"
6Degree,Networking,Mumbai,Sucseed Venture Partners,Undisclosed,28,2020,Maharashtra,11-50,2020,"₹ 28,00,00,000.00"
Shop101,E-Commerce,Mumbai,Stellaris Venture Partners,Undisclosed,32,2020,Maharashtra,101-250,2020,"₹ 32,00,00,000.00"
Dream11,Sports,Mumbai,Steadview Capital,Undisclosed,1867,2020,Maharashtra,1001-5000,2020,"₹ 18,67,00,00,000.00"
Nykaa,Consumer Internet,Mumbai,Steadview Capital,Undisclosed,204,2020,Maharashtra,1001-5000,2020,"₹ 2,04,00,00,000.00"
Nykaa,Consumer Internet,Mumbai,Steadview Capital,Undisclosed,108,2020,Maharashtra,1001-5000,2020,"₹ 1,08,00,00,000.00"
Nykaa,Consumer Internet,Mumbai,Steadview Capital,Undisclosed,72,2020,Maharashtra,1001-5000,2020,"₹ 72,00,00,000.00"
Atomberg,Households,Mumbai,Sandway Investment,Undisclosed,747,2020,Maharashtra,501-1000,2020,"₹ 7,47,00,00,000.00"
MCaffeine,Personal Care,Mumbai,Rpsg Ventures,Undisclosed,241,2020,Maharashtra,11-50,2020,"₹ 2,41,00,00,000.00"
Acko,FinTech,Mumbai,Rps Ventures,Undisclosed,498,2020,Maharashtra,1001-5000,2020,"₹ 4,98,00,00,000.00"
Pepperfry,Healthcare,Mumbai,Rohit Bansal,Undisclosed,3,2020,Maharashtra,501-1000,2020,"₹ 3,00,00,000.00"
Hopscotch,E-Commerce,Mumbai,Rise Capital,Undisclosed,2075,2020,Maharashtra,251-500,2020,"₹ 20,75,00,00,000.00"
Embibe,EdTech,Mumbai,Reliance Industries Limited (Ril),Undisclosed,104,2020,Maharashtra,101-250,2020,"₹ 1,04,00,00,000.00"
Financepeer,E-Commerce,Mumbai,Ravi Sanghvi,Undisclosed,830.75,2020,Maharashtra,11-50,2020,"₹ 8,30,75,00,000.00"
ERPNext,SaaS,Mumbai,Rainmatter,Undisclosed,83,2020,Maharashtra,101-250,2020,"₹ 83,00,00,000.00"
CoinDCX,Finance,Mumbai,Polychain Capital,Undisclosed,25,2020,Maharashtra,11-50,2020,"₹ 25,00,00,000.00"
CoinDCX,Finance,Mumbai,Polychain Capital,Undisclosed,21,2020,Maharashtra,11-50,2020,"₹ 21,00,00,000.00"
CoinDCX,Finance,Mumbai,Polychain Capital,Undisclosed,830.75,2020,Maharashtra,11-50,2020,"₹ 8,30,75,00,000.00"
Financepeer,E-Commerce,Mumbai,Pitchright Venture,Undisclosed,830.75,2020,Maharashtra,11-50,2020,"₹ 8,30,75,00,000.00"
CarTrade,Automotive,Mumbai,Pincus,Undisclosed,3542,2020,Maharashtra,1001-5000,2020,"₹ 35,42,00,00,000.00"
Pepperfry,E-Commerce,Mumbai,Pidilite Industries,Undisclosed,328,2020,Maharashtra,501-1000,2020,"₹ 3,28,00,00,000.00"
Traya,Healthcare,Mumbai,Pentathlon Ventures,Undisclosed,83,2020,Maharashtra,501-1000,2020,"₹ 83,00,00,000.00"
Atomberg,Households,Mumbai,Pavestone Ventures,Undisclosed,747,2020,Maharashtra,501-1000,2020,"₹ 7,47,00,00,000.00"
Nykaa,Consumer Internet,Mumbai,Nexus Venture Partners,Undisclosed,915,2020,Maharashtra,1001-5000,2020,"₹ 9,15,00,00,000.00"
IDfy,FinTech,Mumbai,Nb Ventures,Undisclosed,17,2020,Maharashtra,101-250,2020,"₹ 17,00,00,000.00"
Jai Kisan,AgriTech,Mumbai,Nabventures,Undisclosed,32,2020,Maharashtra,11-50,2020,"₹ 32,00,00,000.00"
IDfy,FinTech,Mumbai,Millenna Fvci Iii,Undisclosed,17,2020,Maharashtra,101-250,2020,"₹ 17,00,00,000.00"
Box8,Delivery,Mumbai,Menlo Park,Undisclosed,33,2020,Maharashtra,1001-5000,2020,"₹ 33,00,00,000.00"
Oziva,Personal Care,Mumbai,Matrix Partners,Undisclosed,41,2020,Maharashtra,51-100,2020,"₹ 41,00,00,000.00"
CarTrade,Automotive,Mumbai,March Capital,Undisclosed,3542,2020,Maharashtra,1001-5000,2020,"₹ 35,42,00,00,000.00"
Hopscotch,E-Commerce,Mumbai,Marc Lore,Undisclosed,2075,2020,Maharashtra,251-500,2020,"₹ 20,75,00,00,000.00"
MCaffeine,Personal Care,Mumbai,Makers Fund,Undisclosed,166,2020,Maharashtra,11-50,2020,"₹ 1,66,00,00,000.00"
MyGlamm,Personal Care,Mumbai,Loccitane,Undisclosed,35,2020,Maharashtra,101-250,2020,"₹ 35,00,00,000.00"
Credit Wise Capital,FinTech,Mumbai,Lightspeed India Partners,Undisclosed,1540.75,2020,Maharashtra,501-1000,2020,"₹ 15,40,75,00,000.00"
Pepperfry,Healthcare,Mumbai,Kunal Bahl,Undisclosed,3,2020,Maharashtra,501-1000,2020,"₹ 3,00,00,000.00"
Traya,Healthcare,Mumbai,Kia Ora Ventures,Undisclosed,83,2020,Maharashtra,501-1000,2020,"₹ 83,00,00,000.00"
6Degree,Networking,Mumbai,Keiretsu Forum,Undisclosed,28,2020,Maharashtra,11-50,2020,"₹ 28,00,00,000.00"
Shop101,E-Commerce,Mumbai,Kalaari Capital,Undisclosed,32,2020,Maharashtra,101-250,2020,"₹ 32,00,00,000.00"
Toppr,EdTech,Mumbai,Kaizenvest,Undisclosed,2905,2020,Maharashtra,1001-5000,2020,"₹ 29,05,00,00,000.00"
Epigamia,Food,Mumbai,Ka Enterprise,Undisclosed,20.96,2020,Maharashtra,101-250,2020,"₹ 20,96,00,000.00"
Biddano,E-Commerce,Mumbai,Jungle Ventures,Undisclosed,830.75,2020,Maharashtra,101-250,2020,"₹ 8,30,75,00,000.00"
CarTrade,Automotive,Mumbai,JP Morgan,Undisclosed,3542,2020,Maharashtra,1001-5000,2020,"₹ 35,42,00,00,000.00"
Avanse Financial Services,FinTech,Mumbai,International Finance Corporation,Undisclosed,1249,2020,Maharashtra,251-500,2020,"₹ 12,49,00,00,000.00"
Acko,FinTech,Mumbai,Intact Ventures,Undisclosed,498,2020,Maharashtra,1001-5000,2020,"₹ 4,98,00,00,000.00"
SUGAR cosmetics,Personal Care,Mumbai,Illuminated Funds Group,Undisclosed,1490.75,2020,Maharashtra,1001-5000,2020,"₹ 14,90,75,00,000.00"
Box8,Delivery,Mumbai,IIFL Seed Ventures Fund,Undisclosed,33,2020,Maharashtra,1001-5000,2020,"₹ 33,00,00,000.00"
CoinDCX,Finance,Mumbai,Hdr Group,Undisclosed,25,2020,Maharashtra,11-50,2020,"₹ 25,00,00,000.00"
Toppr,EdTech,Mumbai,Foundation Holdings,Undisclosed,384,2020,Maharashtra,1001-5000,2020,"₹ 3,84,00,00,000.00"
Toppr,EdTech,Mumbai,Foundation Holdings,Undisclosed,2905,2020,Maharashtra,1001-5000,2020,"₹ 29,05,00,00,000.00"
LEAD School,Education,Mumbai,Elevar Equity,Undisclosed,2320.75,2020,Maharashtra,501-1000,2020,"₹ 23,20,75,00,000.00"
LEAD School,Education,Mumbai,Elevar Equity,Undisclosed,230.75,2020,Maharashtra,501-1000,2020,"₹ 2,30,75,00,000.00"
IDfy,FinTech,Mumbai,Dream Incubator,Undisclosed,17,2020,Maharashtra,101-250,2020,"₹ 17,00,00,000.00"
MCaffeine,Personal Care,Mumbai,Courtside Ventures,Undisclosed,166,2020,Maharashtra,11-50,2020,"₹ 1,66,00,00,000.00"
CoinDCX,Finance,Mumbai,Coinbase Ventures,Undisclosed,830.75,2020,Maharashtra,11-50,2020,"₹ 8,30,75,00,000.00"
Rebel Foods,Food,Mumbai,Coatue Management,Undisclosed,415,2020,Maharashtra,5001-10000,2020,"₹ 4,15,00,00,000.00"
Rebel Foods,Food,Mumbai,Coatue Management,Undisclosed,410.75,2020,Maharashtra,5001-10000,2020,"₹ 4,10,75,00,000.00"
Rebel Foods,Food,Mumbai,Coatue Management,Undisclosed,217,2020,Maharashtra,5001-10000,2020,"₹ 2,17,00,00,000.00"
SUGAR cosmetics,Personal Care,Mumbai,Citi Ventures,Undisclosed,1490.75,2020,Maharashtra,1001-5000,2020,"₹ 14,90,75,00,000.00"
Nykaa,Consumer Internet,Mumbai,Capria Ventures,Undisclosed,915,2020,Maharashtra,1001-5000,2020,"₹ 9,15,00,00,000.00"
MyGlamm,Personal Care,Mumbai,Bessemer Venture Partners,Undisclosed,35,2020,Maharashtra,101-250,2020,"₹ 35,00,00,000.00"
MyGlamm,Personal Care,Mumbai,Bessemer Venture Partners,Undisclosed,83,2020,Maharashtra,101-250,2020,"₹ 83,00,00,000.00"
CoinDCX,Finance,Mumbai,Bain Capital Ventures,Undisclosed,25,2020,Maharashtra,11-50,2020,"₹ 25,00,00,000.00"
Jai Kisan,AgriTech,Mumbai,Arkam Ventures,Undisclosed,32,2020,Maharashtra,11-50,2020,"₹ 32,00,00,000.00"
MCaffeine,Personal Care,Mumbai,Amicus Capital,Undisclosed,241,2020,Maharashtra,11-50,2020,"₹ 2,41,00,00,000.00"
Rebel Foods,Food,Mumbai,Alteria Capital,Undisclosed,40.75,2020,Maharashtra,5001-10000,2020,"₹ 40,75,00,000.00"
Credit Wise Capital,FinTech,Mumbai,Accel,Undisclosed,1540.75,2020,Maharashtra,501-1000,2020,"₹ 15,40,75,00,000.00"
Leap Club,Communication,Gurugram,Whiteboard Capital,Undisclosed,3,2020,Haryana,101-250,2020,"₹ 3,00,00,000.00"
Aye Finance,FinTech,Gurugram,Undisclosed Investments,Undisclosed,196,2020,Haryana,501-1000,2020,"₹ 1,96,00,00,000.00"
PumPumPum,E-Commerce,Gurugram,Undisclosed Investments,Undisclosed,30.75,2020,Haryana,101-250,2020,"₹ 30,75,00,000.00"
Shipsy,Logistics,Gurugram,Udaan Angel Partners,Undisclosed,498,2020,Haryana,101-250,2020,"₹ 4,98,00,00,000.00"
Rivigo,Logistics,Gurugram,Trifecta Capital Advisors,Undisclosed,1574,2020,Haryana,1001-5000,2020,"₹ 15,74,00,00,000.00"
Rivigo,Logistics,Gurugram,Trifecta Capital Advisors,Undisclosed,3,2020,Haryana,1001-5000,2020,"₹ 3,00,00,000.00"
Gaana,Entertainment,Gurugram,Times Internet Ltd,Undisclosed,422,2020,Haryana,251-500,2020,"₹ 4,22,00,00,000.00"
INDwealth,Finance,Gurugram,Tiger Global Management,Undisclosed,9,2020,Haryana,101-250,2020,"₹ 9,00,00,000.00"
SirionLabs,SaaS,Gurugram,Tiger Global Management,Undisclosed,361,2020,Haryana,101-250,2020,"₹ 3,61,00,00,000.00"
Chaayos,Food,Gurugram,Think Investment,Undisclosed,176,2020,Haryana,1001-5000,2020,"₹ 1,76,00,00,000.00"
Gaana,Entertainment,Gurugram,Tencent Holdings,Undisclosed,422,2020,Haryana,251-500,2020,"₹ 4,22,00,00,000.00"
Doubtnut,EdTech,Gurugram,Tencent Holdings,Undisclosed,123,2020,Haryana,11-50,2020,"₹ 1,23,00,00,000.00"
Leap Club,Communication,Gurugram,Sweta Rau,Undisclosed,3,2020,Haryana,101-250,2020,"₹ 3,00,00,000.00"
INDwealth,Finance,Gurugram,Steadview Capital,Undisclosed,9,2020,Haryana,101-250,2020,"₹ 9,00,00,000.00"
Paper Boat,Food,Gurugram,Sofina Ventures,Undisclosed,30.75,2020,Haryana,501-1000,2020,"₹ 30,75,00,000.00"
MamaEarth,E-Commerce,Gurugram,Sequoia India,Undisclosed,14,2020,Haryana,11-50,2020,"₹ 14,00,00,000.00"
Pristyn Care,Healthcare,Gurugram,Sequoia Capital India,Undisclosed,915,2020,Haryana,501-1000,2020,"₹ 9,15,00,00,000.00"
GoMechanic,Automotive,Gurugram,Sequoia Capital,Undisclosed,15,2020,Haryana,251-500,2020,"₹ 15,00,00,000.00"
Agrowave,AgriTech,Gurugram,Sekhar Puli,Undisclosed,42,2020,Haryana,101-250,2020,"₹ 42,00,00,000.00"
Paper Boat,Food,Gurugram,Sci Growth Investment Ii,Undisclosed,30.75,2020,Haryana,501-1000,2020,"₹ 30,75,00,000.00"
Spinny,E-Commerce,Gurugram,Sanjeev Aggarwal,Undisclosed,358,2020,Haryana,251-500,2020,"₹ 3,58,00,00,000.00"
Magicpin,Consumer Internet,Gurugram,Samsung Venture Investment Corporation,Undisclosed,57,2020,Haryana,501-1000,2020,"₹ 57,00,00,000.00"
Moms Co,E-Commerce,Gurugram,Saama Capital,Undisclosed,664,2020,Haryana,51-100,2020,"₹ 6,64,00,00,000.00"
FleetX,Logistics,Gurugram,Roots Ventures,Undisclosed,249,2020,Haryana,101-250,2020,"₹ 2,49,00,00,000.00"
FabHotels,Hospitality,Gurugram,Rb Investments Pte. Ltd,Undisclosed,85,2020,Haryana,51-100,2020,"₹ 85,00,00,000.00"
CashKaro,FinTech,Gurugram,Ratan Tata,Undisclosed,830.75,2020,Haryana,51-100,2020,"₹ 8,30,75,00,000.00"
True Balance,Healthcare,Gurugram,Pegasus Tech Ventures,Undisclosed,415,2020,Haryana,51-100,2020,"₹ 4,15,00,00,000.00"
Zomato,Food,Gurugram,Pacific Horizon,Undisclosed,41,2020,Haryana,10000+,2020,"₹ 41,00,00,000.00"
